"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"19.04.2022","3.745,50","3.732,50","3.768,00","3.732,50","","0,46%"
"18.04.2022","3.728,51","3.723,00","3.744,00","3.716,71","","0,26%"
"15.04.2022","3.719,01","3.743,00","3.744,00","3.723,00","","-0,44%"
"14.04.2022","3.735,27","3.723,00","3.747,00","3.720,73","","0,44%"
"13.04.2022","3.719,01","3.753,33","3.762,00","3.718,25","","-0,78%"
"12.04.2022","3.748,15","3.739,00","3.768,00","3.710,01","","0,38%"
"11.04.2022","3.733,82","3.757,00","3.762,00","3.732,01","","-0,48%"
"08.04.2022","3.751,82","3.769,46","3.798,00","3.749,00","","-0,33%"
"07.04.2022","3.764,27","3.752,00","3.780,00","3.740,00","","0,47%"
"06.04.2022","3.746,82","3.740,96","3.762,00","3.725,00","","0,30%"
"05.04.2022","3.735,77","3.704,50","3.749,91","3.693,00","1,20K","0,99%"
"04.04.2022","3.699,32","3.749,05","3.754,40","3.690,00","1,08K","-1,19%"
"01.04.2022","3.743,87","3.773,00","3.797,96","3.749,05","1,40K","-0,64%"
"31.03.2022","3.767,82","3.753,71","3.773,00","3.746,46","1,25K","0,51%"
"30.03.2022","3.748,52","3.755,16","3.766,96","3.737,53","2,02K","-0,07%"
"29.03.2022","3.751,16","3.785,21","3.786,65","3.755,16","1,44K","-0,79%"
"28.03.2022","3.781,21","3.794,66","3.808,00","3.775,00","1,43K","-0,25%"
"25.03.2022","3.790,66","3.787,00","3.800,00","3.760,21","1,17K","0,20%"
"24.03.2022","3.783,01","3.783,50","3.817,00","3.775,00","1,29K","0,09%"
"23.03.2022","3.779,51","3.760,51","3.792,00","3.732,00","1,34K","0,61%"
"22.03.2022","3.756,52","3.800,00","3.818,75","3.751,50","1,41K","-1,04%"
"21.03.2022","3.796,01","3.818,75","3.820,82","3.800,00","0,41K","-0,49%"
"18.03.2022","3.814,76","3.825,00","3.838,01","3.805,05","0,95K","-0,16%"
"17.03.2022","3.821,01","3.835,00","3.841,49","3.805,16","1,58K","-0,26%"
"16.03.2022","3.831,01","3.829,00","3.840,00","3.811,41","1,27K","0,16%"
"15.03.2022","3.825,01","3.797,60","3.853,96","3.787,25","2,42K","0,83%"
"14.03.2022","3.793,61","3.820,00","3.830,00","3.771,00","2,59K","-0,59%"
"11.03.2022","3.816,01","3.822,00","3.847,75","3.805,43","1,96K","-0,05%"
"10.03.2022","3.818,01","3.743,00","3.838,00","3.743,00","2,49K","2,11%"
"09.03.2022","3.739,01","3.771,05","3.771,05","3.727,80","1,59K","-0,74%"
"08.03.2022","3.767,06","3.813,00","3.815,00","3.767,95","1,65K","-1,10%"
"07.03.2022","3.809,01","3.830,00","3.830,00","3.798,50","1,31K","-0,44%"
"04.03.2022","3.826,01","3.759,45","3.830,20","3.757,56","2,20K","1,88%"
"03.03.2022","3.755,45","3.838,00","3.838,00","3.745,60","1,67K","-2,05%"
"02.03.2022","3.834,01","3.883,00","3.890,70","3.834,59","1,68K","-1,16%"
"01.03.2022","3.879,01","3.937,00","3.947,00","3.880,55","1,43K","-1,37%"
"28.02.2022","3.933,01","3.913,54","3.943,00","3.894,21","1,72K","0,60%"
"25.02.2022","3.909,55","3.927,00","3.927,20","3.900,00","1,45K","-0,34%"
"24.02.2022","3.923,01","3.913,00","3.979,00","3.911,76","1,89K","0,36%"
"23.02.2022","3.909,01","3.930,00","3.930,20","3.904,00","1,35K","-0,43%"
"22.02.2022","3.926,01","3.935,00","3.940,00","3.925,00","1,09K","-0,13%"
"21.02.2022","3.931,01","3.932,00","3.939,00","3.932,00","0,58K","0,08%"
"18.02.2022","3.928,01","3.933,75","3.940,48","3.919,30","1,13K","-0,06%"
"17.02.2022","3.930,35","3.964,41","3.971,56","3.925,30","1,62K","-0,76%"
"16.02.2022","3.960,41","3.950,99","3.970,75","3.950,99","1,25K","0,32%"
"15.02.2022","3.947,59","3.944,88","3.956,30","3.933,20","1,34K","0,16%"
"14.02.2022","3.941,48","3.928,99","3.947,58","3.914,03","1,44K","0,51%"
"11.02.2022","3.921,42","3.924,00","3.933,41","3.898,00","1,13K","0,13%"
"10.02.2022","3.916,44","3.937,73","3.939,00","3.900,72","1,85K","-0,35%"
"09.02.2022","3.930,16","3.948,00","3.957,41","3.927,22","1,30K","-0,29%"
"08.02.2022","3.941,63","3.965,60","3.983,00","3.937,61","1,23K","-0,44%"
"07.02.2022","3.959,23","3.952,55","3.974,71","3.943,33","1,19K","0,33%"
"04.02.2022","3.946,18","3.956,44","3.975,00","3.946,16","1,62K","-0,10%"
"03.02.2022","3.950,06","3.935,01","3.960,00","3.925,62","1,76K","0,55%"
"02.02.2022","3.928,64","3.925,50","3.940,00","3.910,00","1,64K","0,24%"
"01.02.2022","3.919,13","3.947,78","3.947,78","3.913,84","1,49K","-0,57%"
"31.01.2022","3.941,41","3.958,00","3.970,00","3.932,81","0,95K","-0,26%"
"28.01.2022","3.951,63","3.963,00","3.995,00","3.952,21","1,38K","-0,13%"
"27.01.2022","3.956,63","3.930,00","3.971,50","3.924,00","1,88K","0,83%"
"26.01.2022","3.924,22","3.968,15","3.975,01","3.925,61","1,80K","-0,99%"
"25.01.2022","3.963,56","3.976,50","4.004,00","3.962,50","1,59K","-0,21%"
"24.01.2022","3.971,91","3.956,44","3.980,60","3.954,46","0,81K","0,49%"
"21.01.2022","3.952,44","3.975,00","3.988,00","3.951,60","1,49K","-0,47%"
"20.01.2022","3.971,01","3.994,35","3.994,35","3.966,50","1,12K","-0,48%"
"19.01.2022","3.990,36","4.037,20","4.037,20","3.990,00","1,09K","-1,06%"
"18.01.2022","4.033,20","4.007,25","4.041,75","4.004,51","1,38K","0,75%"
"17.01.2022","4.003,26","4.007,25","4.007,25","4.007,25","","0,00%"
"14.01.2022","4.003,26","3.967,41","4.017,50","3.954,00","1,00K","1,01%"
"13.01.2022","3.963,41","3.974,50","3.987,17","3.941,46","0,61K","-0,18%"
"12.01.2022","3.970,51","3.991,91","3.996,00","3.961,67","1,04K","-0,44%"
"11.01.2022","3.987,91","4.051,05","4.051,05","3.991,27","0,88K","-1,46%"
"10.01.2022","4.047,06","4.051,05","4.052,64","4.046,00","0,51K","0,00%"
"07.01.2022","4.047,06","4.034,50","4.059,98","4.024,00","1,03K","0,41%"
"06.01.2022","4.030,51","4.025,50","4.065,00","4.023,88","0,82K","0,21%"
"05.01.2022","4.022,10","4.080,20","4.081,09","4.014,00","0,76K","-1,34%"
"04.01.2022","4.076,80","4.070,00","4.091,50","4.067,97","0,66K","0,25%"
"03.01.2022","4.066,60","4.070,00","4.105,50","4.036,00","0,62K","0,03%"
"31.12.2021","4.065,41","4.070,00","4.075,74","4.064,17","0,42K","0,00%"
"30.12.2021","4.065,41","4.039,05","4.054,98","4.004,25","0,65K","0,77%"
"29.12.2021","4.034,46","4.009,00","4.040,00","4.005,00","0,66K","0,72%"
"28.12.2021","4.005,60","4.000,00","4.011,75","3.994,50","0,62K","0,23%"
"27.12.2021","3.996,60","3.991,00","4.000,00","3.980,00","0,85K","0,23%"
"24.12.2021","3.987,60","4.000,00","4.005,50","3.987,50","0,55K","-0,23%"
"23.12.2021","3.996,60","3.999,99","4.002,98","3.991,40","0,71K","0,00%"
"22.12.2021","3.996,59","4.001,90","4.002,90","3.989,80","0,80K","-0,05%"
"21.12.2021","3.998,50","4.006,50","4.007,01","3.988,80","0,81K","-0,11%"
"20.12.2021","4.003,10","3.974,32","4.011,64","3.972,64","0,75K","0,81%"
"17.12.2021","3.970,92","4.018,80","4.033,50","3.969,80","1,10K","-1,11%"
"16.12.2021","4.015,40","4.000,30","4.022,50","3.987,05","1,28K","0,46%"
"15.12.2021","3.996,90","4.006,00","4.008,00","3.975,01","1,19K","-0,14%"
"14.12.2021","4.002,60","3.890,75","4.006,20","3.890,75","1,03K","2,96%"
"13.12.2021","3.887,35","3.900,00","3.900,20","3.875,80","1,31K","-0,24%"
"10.12.2021","3.896,60","3.903,00","3.907,54","3.876,00","1,20K","-0,08%"
"09.12.2021","3.899,60","3.894,00","3.911,00","3.890,55","1,33K","0,23%"
"08.12.2021","3.890,60","3.910,98","3.915,75","3.894,00","0,51K","-0,43%"
"07.12.2021","3.907,58","3.932,50","3.935,25","3.892,05","1,99K","-0,55%"
"06.12.2021","3.929,10","3.966,20","3.972,14","3.929,08","1,67K","-0,87%"
"03.12.2021","3.963,40","3.937,00","3.973,64","3.924,00","1,20K","0,74%"
"02.12.2021","3.934,20","3.966,56","3.967,41","3.925,10","1,31K","-0,75%"
"01.12.2021","3.963,76","3.995,00","3.997,52","3.937,20","1,57K","-0,71%"
"30.11.2021","3.992,20","4.035,00","4.040,00","3.990,50","1,52K","-0,92%"
"29.11.2021","4.029,23","4.007,00","4.039,51","3.993,61","1,09K","0,70%"
"26.11.2021","4.001,23","3.981,00","4.025,00","3.979,01","1,01K","0,65%"
"25.11.2021","3.975,23","3.974,50","3.981,00","3.963,85","0,58K","0,16%"
"24.11.2021","3.968,73","3.950,00","3.992,50","3.950,00","2,05K","0,62%"
"23.11.2021","3.944,23","3.925,75","3.957,00","3.923,79","2,01K","0,62%"
"22.11.2021","3.919,98","3.914,00","3.931,00","3.898,20","1,58K","0,30%"
"19.11.2021","3.908,23","3.935,00","3.949,50","3.911,87","1,13K","-0,47%"
"18.11.2021","3.926,75","3.919,00","3.960,65","3.915,93","1,13K","0,26%"
"17.11.2021","3.916,53","3.895,00","3.936,00","3.892,80","1,51K","0,62%"
"16.11.2021","3.892,53","3.884,80","3.912,00","3.884,31","1,47K","0,26%"
"15.11.2021","3.882,33","3.882,80","3.885,14","3.882,67","0,46K","0,05%"
"12.11.2021","3.880,33","3.879,00","3.900,00","3.875,26","3,02K","0,10%"
"11.11.2021","3.876,53","3.877,50","3.887,32","3.876,59","0,56K","0,04%"
"10.11.2021","3.875,03","3.866,99","3.884,00","3.862,00","1,34K","0,27%"
"09.11.2021","3.864,52","3.877,00","3.892,84","3.864,70","1,38K","-0,26%"
"08.11.2021","3.874,53","3.872,50","3.890,30","3.857,00","1,20K","0,12%"
"05.11.2021","3.870,03","3.872,00","3.898,90","3.863,70","1,42K","0,01%"
"04.11.2021","3.869,53","3.830,10","3.885,00","3.818,75","2,09K","1,09%"
"03.11.2021","3.827,63","3.799,00","3.852,95","3.793,57","2,26K","0,82%"
"02.11.2021","3.796,53","3.760,00","3.799,00","3.757,10","1,57K","1,04%"
"01.11.2021","3.757,53","3.760,00","3.767,62","3.757,03","0,54K","0,00%"
"29.10.2021","3.757,53","3.779,50","3.798,30","3.760,00","1,55K","-0,47%"
"28.10.2021","3.775,23","3.760,00","3.778,56","3.749,00","0,95K","0,47%"
"27.10.2021","3.757,53","3.771,50","3.771,69","3.751,60","1,13K","-0,24%"
"26.10.2021","3.766,48","3.767,00","3.779,00","3.765,91","1,17K","0,05%"
"25.10.2021","3.764,53","3.768,00","3.775,14","3.757,00","1,39K","-0,03%"
"22.10.2021","3.765,53","3.781,00","3.789,00","3.766,47","1,25K","-0,34%"
"21.10.2021","3.778,53","3.768,09","3.788,00","3.765,43","1,37K","0,34%"
"20.10.2021","3.765,62","3.766,80","3.776,50","3.760,00","1,92K","0,03%"
"19.10.2021","3.764,33","3.769,00","3.772,00","3.750,50","1,43K","-0,06%"
"18.10.2021","3.766,53","3.763,67","3.774,00","3.758,00","0,51K","0,14%"
"15.10.2021","3.761,20","3.769,50","3.785,30","3.755,55","1,40K","-0,15%"
"14.10.2021","3.767,03","3.740,00","3.774,45","3.734,61","1,79K","0,79%"
"13.10.2021","3.737,53","3.721,50","3.745,00","3.713,50","1,34K","0,50%"
"12.10.2021","3.719,03","3.753,00","3.773,32","3.716,68","2,08K","-0,84%"
"11.10.2021","3.750,53","3.767,35","3.767,35","3.753,00","0,62K","-0,38%"
"08.10.2021","3.764,88","3.774,50","3.775,56","3.757,98","1,31K","-0,19%"
"07.10.2021","3.772,03","3.788,00","3.788,00","3.761,63","1,67K","-0,36%"
"06.10.2021","3.785,53","3.783,50","3.804,50","3.777,10","1,22K","0,12%"
"05.10.2021","3.781,03","3.790,00","3.804,58","3.781,98","1,68K","-0,17%"
"04.10.2021","3.787,53","3.790,00","3.799,30","3.776,00","2,05K","0,00%"
"01.10.2021","3.787,53","3.807,80","3.807,80","3.767,00","3,97K","-0,47%"
"30.09.2021","3.805,33","3.836,00","3.839,00","3.803,00","1,32K","-0,74%"
"29.09.2021","3.833,53","3.834,00","3.845,26","3.823,40","1,58K","0,05%"
"28.09.2021","3.831,53","3.843,25","3.850,41","3.830,10","1,53K","-0,24%"
"27.09.2021","3.840,78","3.834,57","3.847,12","3.832,67","1,17K","0,23%"
"24.09.2021","3.832,10","3.834,00","3.867,19","3.832,00","2,02K","0,01%"
"23.09.2021","3.831,53","3.833,00","3.841,70","3.827,64","1,41K","0,03%"
"22.09.2021","3.830,53","3.837,25","3.841,74","3.822,50","1,54K","-0,11%"
"21.09.2021","3.834,78","3.844,00","3.849,70","3.835,00","1,21K","-0,18%"
"20.09.2021","3.841,53","3.827,50","3.862,00","3.824,68","1,46K","0,43%"
"17.09.2021","3.825,03","3.817,17","3.839,30","3.811,76","1,34K","0,27%"
"16.09.2021","3.814,70","3.815,00","3.829,32","3.803,46","1,20K","0,06%"
"15.09.2021","3.812,53","3.830,49","3.837,09","3.807,19","0,96K","-0,40%"
"14.09.2021","3.828,02","3.830,60","3.837,73","3.816,83","1,05K","0,00%"
"13.09.2021","3.828,13","3.835,00","3.843,48","3.822,59","0,98K","-0,11%"
"10.09.2021","3.832,53","3.843,70","3.846,42","3.825,93","1,21K","-0,23%"
"09.09.2021","3.841,23","3.816,55","3.844,08","3.811,35","0,91K","0,71%"
"08.09.2021","3.814,08","3.800,00","3.824,59","3.798,20","0,97K","0,44%"
"07.09.2021","3.797,53","3.800,00","3.820,98","3.795,51","1,20K","0,00%"
"06.09.2021","3.797,53","3.800,00","3.800,00","3.800,00","","0,00%"
"03.09.2021","3.797,53","3.795,00","3.809,33","3.773,00","1,19K","0,13%"
"02.09.2021","3.792,53","3.760,00","3.801,97","3.755,54","1,10K","0,93%"
"01.09.2021","3.757,53","3.769,15","3.777,64","3.738,90","1,39K","-0,24%"
"31.08.2021","3.766,68","3.816,75","3.819,88","3.761,50","1,37K","-1,21%"
"30.08.2021","3.812,65","3.829,01","3.836,58","3.796,95","1,07K","-0,32%"
"27.08.2021","3.824,91","3.867,75","3.867,75","3.822,23","0,98K","-1,06%"
"26.08.2021","3.865,75","3.865,50","3.880,00","3.861,45","1,26K","0,06%"
"25.08.2021","3.863,50","3.867,00","3.877,26","3.853,16","1,26K","-0,04%"
"24.08.2021","3.865,00","3.881,95","3.881,95","3.849,60","1,50K","-0,39%"
"23.08.2021","3.879,95","3.872,00","3.882,84","3.847,00","1,18K","0,26%"
"20.08.2021","3.870,00","3.870,40","3.889,00","3.863,65","1,36K","0,09%"
"19.08.2021","3.866,40","3.851,50","3.892,00","3.848,28","1,24K","0,49%"
"18.08.2021","3.847,50","3.880,00","3.886,65","3.847,23","1,20K","-0,74%"
"17.08.2021","3.876,00","3.842,20","3.885,00","3.840,75","0,88K","0,98%"
"16.08.2021","3.838,20","3.842,20","3.854,45","3.838,88","0,49K","0,00%"
"13.08.2021","3.838,20","3.859,00","3.859,00","3.813,50","0,99K","-0,44%"
"12.08.2021","3.855,00","3.942,20","3.953,93","3.848,01","1,28K","-2,11%"
"11.08.2021","3.938,20","3.968,00","3.971,94","3.940,80","3,90K","-0,65%"
"10.08.2021","3.964,00","3.997,35","4.009,14","3.960,05","1,24K","-0,73%"
"09.08.2021","3.993,35","3.967,10","4.002,41","3.956,64","0,95K","0,76%"
"06.08.2021","3.963,10","3.918,00","3.976,07","3.907,32","1,51K","1,25%"
"05.08.2021","3.914,00","3.903,00","3.923,12","3.895,00","1,52K","0,38%"
"04.08.2021","3.899,00","3.909,75","3.924,78","3.888,30","1,35K","-0,17%"
"03.08.2021","3.905,75","3.891,50","3.926,09","3.886,00","3,85K","0,47%"
"02.08.2021","3.887,50","3.878,00","3.895,78","3.835,27","4,42K","0,35%"
"30.07.2021","3.874,00","3.847,60","3.886,14","3.841,65","3,70K","0,79%"
"29.07.2021","3.843,60","3.873,50","3.877,42","3.826,95","4,06K","-0,62%"
"28.07.2021","3.867,50","3.932,00","3.936,90","3.873,00","3,24K","-1,54%"
"27.07.2021","3.928,00","3.913,50","3.939,70","3.897,00","1,09K","0,47%"
"26.07.2021","3.909,50","3.889,00","3.917,81","3.889,00","4,45K","0,63%"
"23.07.2021","3.885,00","3.870,20","3.890,00","3.857,18","3,17K","0,49%"
"22.07.2021","3.866,20","3.855,00","3.879,34","3.847,43","5,54K","0,39%"
"21.07.2021","3.851,00","3.835,50","3.872,05","3.835,50","4,36K","0,51%"
"20.07.2021","3.831,50","3.835,50","3.848,58","3.833,77","2,96K","0,00%"
"19.07.2021","3.831,50","3.817,60","3.858,35","3.817,60","2,97K","0,47%"
"16.07.2021","3.813,60","3.816,02","3.821,33","3.797,94","3,26K","0,04%"
"15.07.2021","3.812,02","3.794,02","3.820,02","3.793,26","4,97K","0,58%"
"14.07.2021","3.790,02","3.823,20","3.823,20","3.786,90","5,46K","-0,76%"
"13.07.2021","3.819,20","3.822,10","3.836,95","3.812,90","0,88K","0,03%"
"12.07.2021","3.818,10","3.831,00","3.840,50","3.814,50","4,44K","-0,23%"
"09.07.2021","3.827,00","3.841,00","3.846,72","3.812,05","0,81K","-0,26%"
"08.07.2021","3.837,00","3.832,00","3.864,50","3.830,88","4,42K","0,24%"
"07.07.2021","3.828,00","3.779,50","3.834,72","3.773,48","3,36K","1,39%"
"06.07.2021","3.775,50","3.742,00","3.800,00","3.739,89","1,06K","0,98%"
"05.07.2021","3.739,00","3.742,00","3.742,00","3.742,00","","0,00%"
"02.07.2021","3.739,00","3.778,00","3.799,00","3.742,00","0,50K","-0,98%"
"01.07.2021","3.776,00","3.750,00","3.793,00","3.725,80","4,17K","0,77%"
"30.06.2021","3.747,00","3.767,50","3.774,80","3.728,80","4,72K","-0,46%"
"29.06.2021","3.764,50","3.703,00","3.777,00","3.703,00","4,40K","1,74%"
"28.06.2021","3.700,00","3.745,15","3.754,08","3.702,80","6,15K","-1,13%"
"25.06.2021","3.742,15","3.766,25","3.774,00","3.724,23","3,53K","-0,56%"
"24.06.2021","3.763,25","3.784,05","3.784,05","3.753,50","4,47K","-0,47%"
"23.06.2021","3.781,05","3.782,10","3.789,99","3.749,35","1,16K","0,05%"
"22.06.2021","3.779,10","3.760,05","3.798,00","3.759,10","1,04K","0,59%"
"21.06.2021","3.757,05","3.769,00","3.769,00","3.740,00","0,87K","-0,24%"
"18.06.2021","3.766,00","3.729,00","3.769,50","3.724,69","4,53K","1,07%"
"17.06.2021","3.726,00","3.674,00","3.739,00","3.674,00","1,19K","1,48%"
"16.06.2021","3.671,75","3.698,00","3.705,22","3.674,00","3,43K","-0,65%"
"15.06.2021","3.695,75","3.654,50","3.705,95","3.654,50","0,67K","1,19%"
"14.06.2021","3.652,25","3.654,50","3.660,00","3.644,09","2,46K","0,00%"
"11.06.2021","3.652,25","3.606,00","3.657,50","3.591,90","3,91K","1,35%"
"10.06.2021","3.603,75","3.588,93","3.609,00","3.578,50","4,03K","0,47%"
"09.06.2021","3.586,93","3.594,60","3.599,28","3.573,00","4,49K","-0,15%"
"08.06.2021","3.592,35","3.607,50","3.613,19","3.584,26","4,76K","-0,36%"
"07.06.2021","3.605,25","3.607,50","3.615,11","3.600,74","2,81K","0,00%"
"04.06.2021","3.605,25","3.661,00","3.661,36","3.593,60","5,76K","-1,46%"
"03.06.2021","3.658,75","3.653,50","3.673,00","3.642,00","5,60K","0,21%"
"02.06.2021","3.651,25","3.666,30","3.666,30","3.624,95","4,60K","-0,35%"
"01.06.2021","3.664,05","3.708,00","3.708,00","3.662,30","4,80K","-1,13%"
"31.05.2021","3.705,75","3.708,00","3.709,61","3.705,38","0,42K","0,00%"
"28.05.2021","3.705,75","3.721,71","3.733,75","3.703,19","3,74K","-0,37%"
"27.05.2021","3.719,46","3.743,00","3.747,20","3.721,71","4,51K","-0,57%"
"26.05.2021","3.740,75","3.739,50","3.760,00","3.733,47","4,84K","0,09%"
"25.05.2021","3.737,25","3.734,50","3.747,00","3.720,91","4,27K","0,13%"
"24.05.2021","3.732,25","3.747,00","3.768,80","3.732,00","4,50K","-0,33%"
"21.05.2021","3.744,75","3.718,80","3.753,70","3.708,00","3,40K","0,80%"
"20.05.2021","3.715,05","3.684,95","3.748,00","3.681,26","5,25K","0,86%"
"19.05.2021","3.683,45","3.660,00","3.695,00","3.656,34","5,11K","0,87%"
"18.05.2021","3.651,56","3.685,50","3.686,09","3.643,35","5,62K","-0,85%"
"17.05.2021","3.682,88","3.685,50","3.689,25","3.679,49","3,11K","0,00%"
"14.05.2021","3.682,88","3.721,10","3.725,64","3.668,00","4,97K","-0,96%"
"13.05.2021","3.718,48","3.750,50","3.753,75","3.711,50","2,46K","-0,78%"
"12.05.2021","3.747,88","3.712,00","3.753,00","3.704,93","5,39K","1,04%"
"11.05.2021","3.709,38","3.706,80","3.728,80","3.684,00","4,39K","0,14%"
"10.05.2021","3.704,18","3.750,00","3.756,57","3.703,64","4,79K","-1,15%"
"07.05.2021","3.747,38","3.804,00","3.805,07","3.749,73","5,33K","-1,42%"
"06.05.2021","3.801,38","3.851,00","3.860,17","3.776,89","5,02K","-1,22%"
"05.05.2021","3.848,38","3.829,50","3.866,75","3.812,50","5,29K","0,59%"
"04.05.2021","3.825,75","3.804,95","3.846,00","3.800,56","5,26K","0,62%"
"03.05.2021","3.802,00","3.753,30","3.834,00","3.745,10","4,06K","1,35%"
"30.04.2021","3.751,43","3.715,10","3.759,05","3.709,59","4,42K","1,03%"
"29.04.2021","3.713,23","3.696,00","3.728,13","3.689,16","4,45K","0,52%"
"28.04.2021","3.694,13","3.718,25","3.723,57","3.691,35","5,21K","-0,59%"
"27.04.2021","3.716,00","3.695,00","3.738,10","3.679,27","4,68K","0,62%"
"26.04.2021","3.693,13","3.628,50","3.696,00","3.626,49","5,26K","1,82%"
"23.04.2021","3.627,00","3.635,35","3.651,60","3.624,00","4,65K","-0,19%"
"22.04.2021","3.633,85","3.614,00","3.643,60","3.597,00","5,26K","0,59%"
"21.04.2021","3.612,50","3.643,00","3.653,90","3.612,00","4,15K","-0,80%"
"20.04.2021","3.641,50","3.627,00","3.645,40","3.620,61","3,74K","0,44%"
"19.04.2021","3.625,50","3.603,00","3.630,80","3.593,21","3,80K","0,66%"
"16.04.2021","3.601,88","3.612,00","3.622,17","3.587,55","4,45K","-0,24%"
"15.04.2021","3.610,50","3.656,80","3.656,80","3.604,70","4,04K","-1,23%"
"14.04.2021","3.655,30","3.668,50","3.682,79","3.652,30","5,32K","-0,32%"
"13.04.2021","3.667,00","3.665,00","3.676,70","3.656,50","4,58K","0,10%"
"12.04.2021","3.663,50","3.659,50","3.666,50","3.638,02","4,24K","0,15%"
"09.04.2021","3.658,00","3.629,05","3.662,50","3.629,05","4,64K","0,84%"
"08.04.2021","3.627,55","3.654,59","3.656,89","3.626,03","4,85K","-0,70%"
"07.04.2021","3.653,09","3.636,50","3.662,50","3.616,70","5,57K","0,49%"
"06.04.2021","3.635,25","3.674,00","3.674,13","3.632,00","3,84K","-1,02%"
"05.04.2021","3.672,75","3.661,70","3.676,08","3.631,29","4,39K","0,51%"
"02.04.2021","3.654,20","3.661,70","3.662,06","3.653,71","0,31K","0,00%"
"01.04.2021","3.654,20","3.661,70","3.665,35","3.652,63","0,45K","-0,13%"
"31.03.2021","3.658,95","3.730,00","3.730,38","3.659,50","0,94K","-1,83%"
"30.03.2021","3.727,25","3.718,99","3.755,00","3.713,65","1,07K","0,30%"
"29.03.2021","3.716,24","3.689,89","3.719,50","3.689,89","0,99K","0,79%"
"26.03.2021","3.687,14","3.668,00","3.690,60","3.640,00","4,88K","0,60%"
"25.03.2021","3.665,25","3.649,40","3.669,49","3.645,10","5,32K","0,51%"
"24.03.2021","3.646,65","3.619,50","3.650,50","3.608,49","5,29K","0,83%"
"23.03.2021","3.616,75","3.559,40","3.620,40","3.553,94","5,63K","1,67%"
"22.03.2021","3.557,40","3.558,90","3.570,00","3.554,65","0,92K","0,01%"
"19.03.2021","3.556,90","3.547,10","3.568,30","3.538,03","4,90K","0,33%"
"18.03.2021","3.545,10","3.571,00","3.595,00","3.538,55","5,88K","-0,68%"
"17.03.2021","3.569,25","3.559,50","3.583,51","3.557,98","4,80K","0,32%"
"16.03.2021","3.557,75","3.559,00","3.567,77","3.540,26","5,40K","0,11%"
"15.03.2021","3.554,00","3.576,00","3.591,25","3.556,14","4,52K","-0,55%"
"12.03.2021","3.573,50","3.556,00","3.589,88","3.548,57","5,53K","0,56%"
"11.03.2021","3.553,50","3.552,75","3.557,06","3.515,68","6,41K","0,07%"
"10.03.2021","3.551,00","3.592,50","3.594,26","3.545,38","5,65K","-1,11%"
"09.03.2021","3.590,75","3.604,70","3.611,93","3.587,20","5,53K","-0,34%"
"08.03.2021","3.602,95","3.635,15","3.661,85","3.600,88","5,56K","-0,84%"
"05.03.2021","3.633,40","3.644,90","3.671,56","3.614,50","6,27K","-0,27%"
"04.03.2021","3.643,15","3.681,09","3.681,72","3.621,50","5,94K","-0,98%"
"03.03.2021","3.679,34","3.656,50","3.682,06","3.651,59","6,15K","0,68%"
"02.03.2021","3.654,50","3.619,50","3.662,38","3.616,96","5,64K","1,01%"
"01.03.2021","3.618,00","3.647,00","3.648,02","3.602,50","5,68K","-0,73%"
"26.02.2021","3.644,50","3.610,45","3.651,95","3.603,40","5,12K","1,01%"
"25.02.2021","3.607,95","3.565,00","3.612,03","3.564,00","4,84K","1,28%"
"24.02.2021","3.562,50","3.594,50","3.594,50","3.562,00","5,18K","-0,82%"
"23.02.2021","3.592,00","3.593,50","3.598,74","3.582,03","4,89K","0,03%"
"22.02.2021","3.591,00","3.571,80","3.624,50","3.566,40","5,23K","0,61%"
"19.02.2021","3.569,30","3.547,33","3.579,00","3.532,00","6,31K","0,69%"
"18.02.2021","3.544,83","3.528,20","3.549,35","3.516,10","6,02K","0,54%"
"17.02.2021","3.525,70","3.523,50","3.566,85","3.517,48","4,81K","0,15%"
"16.02.2021","3.520,45","3.496,50","3.531,00","3.487,76","5,16K","0,90%"
"15.02.2021","3.489,00","3.496,50","3.504,13","3.481,90","3,57K","-0,16%"
"12.02.2021","3.494,50","3.526,50","3.540,64","3.496,00","5,73K","-0,85%"
"11.02.2021","3.524,50","3.559,50","3.561,47","3.517,50","5,36K","-0,93%"
"10.02.2021","3.557,75","3.576,30","3.586,50","3.541,00","6,05K","-0,47%"
"09.02.2021","3.574,55","3.571,00","3.597,95","3.561,68","5,96K","0,15%"
"08.02.2021","3.569,25","3.555,50","3.575,50","3.538,77","4,89K","0,44%"
"05.02.2021","3.553,75","3.558,19","3.567,14","3.531,10","5,23K","-0,08%"
"04.02.2021","3.556,44","3.535,71","3.577,41","3.525,87","5,18K","0,64%"
"03.02.2021","3.533,83","3.529,21","3.545,27","3.510,00","4,86K","0,18%"
"02.02.2021","3.527,33","3.573,00","3.573,00","3.507,50","5,47K","-1,23%"
"01.02.2021","3.571,13","3.569,00","3.584,71","3.540,00","4,84K","0,10%"
"29.01.2021","3.567,63","3.560,00","3.580,54","3.538,71","4,48K","0,25%"
"28.01.2021","3.558,63","3.606,00","3.633,23","3.554,83","4,32K","-1,26%"
"27.01.2021","3.604,13","3.613,50","3.665,91","3.605,68","5,37K","-0,21%"
"26.01.2021","3.611,63","3.588,00","3.614,70","3.560,05","5,09K","0,72%"
"25.01.2021","3.585,88","3.527,71","3.616,66","3.527,71","5,09K","1,71%"
